Well Number,Well Name,Bottomhole X,Bottomhole Y,Co [MSTB],Cw (bbl),POROS,KX,KY,TD(MD),Cg (mmcf),P_2020-1-6,P_2029-1-1,RQI,Pressure_Drawdown,OGR,Facies_1,Facies_2,Facies_3,Facies_4,Facies_5
1,PO1_1,5064.04,13746.23,55.1916,0.000161745,0.128029479,0.02037744,0.02037744,8551.7,157.1194469,3491.971374,2992.403113,1.1149742390777932,499.56826100000035,0.35127160315888306,False,False,True,False,False
2,PO1_2,7668.4,13746.23,27.5294,0.000139479,0.10187566,0.015087908,0.015087908,8579.9,69.83107604,3501.327981,2947.374808,1.205713374226745,553.9531729999999,0.3942284948356067,False,False,False,True,False
3,PO1_3,2459.67,13746.23,48.354,0.000197399,0.119220339,0.022396135,0.022396135,8557.1,134.7819396,3493.763065,2904.053641,1.2552672145579378,589.7094240000001,0.35875726483461295,False,False,False,True,False
4,PO1_4,10272.76,13746.23,0.572057,1.44e-07,0.0641319,9.13e-05,9.13e-05,8635.5,1.101209725,3519.775759,3301.826052,0.14899142779916083,217.94970700000022,0.5194805194805195,False,False,False,False,True
5,PO1_5,12877.11,13746.23,0.430394,8.56e-08,0.06307772,6.68e-05,6.68e-05,8718.6,0.435085295,3547.347889,3365.597401,0.12957232278974287,181.75048800000013,0.9892175280251657,False,False,False,False,True
6,PO1_6,10272.76,11141.88,0.995444,3.84e-07,0.071006502,0.000167849,0.000167849,8555.5,2.79222042,3493.232193,3196.74689,0.18245730702078017,296.48530299999993,0.35650623885918004,False,False,False,False,True
7,PO1_7,11430.25,11141.88,0.215019,0.603003,0.06938168,0.000162067,0.000162067,8589.1,0.523657273,3504.380491,3126.40593,0.18348581063260277,377.974561,0.41061016639407966,False,False,False,False,True
8,PO1_8,12877.11,11141.88,0.0,1.2446,0.074247061,0.000269818,0.000269818,8638.6,0.0,3520.804323,2949.43445,0.2212362009579565,571.3698729999996,,False,False,False,False,True
9,PO1_9,14034.61,11141.88,0.0,1.30679,0.073379858,0.000284073,0.000284073,8684.3,0.0,3535.967335,2954.485548,0.22968789723899924,581.4817869999997,,False,False,False,False,True
10,PO1_10,8825.89,11141.88,83.4367,0.000113674,0.12239076,0.015151211,0.015151211,8521.2,138.2286104,3481.851639,2913.662088,1.0057152639940916,568.1895509999999,0.6036138232060242,False,False,False,True,False
11,PO1_11,6221.53,11141.88,104.8875,0.000339227,0.161974899,0.038947085,0.038947085,8480.9,307.76812,3468.480318,2588.865376,1.2183996382553628,879.6149419999997,0.3408004051881657,False,True,False,False,False
12,PO1_12,5064.04,11141.88,113.904,0.000436387,0.1840442,0.0508726,0.0508726,8471.7,424.4974272,3465.427808,2510.376538,1.225518386870496,955.0512699999999,0.26832671460770635,True,False,False,False,False
13,PO1_13,3617.17,11141.88,120.743,0.000492105,0.188017401,0.0564631,0.0564631,8467.9,455.0320698,3464.166989,2530.781051,1.2638173531037744,933.3859379999999,0.2653505280475508,True,False,False,False,False
14,PO1_14,2459.67,11141.88,113.851,0.000459321,0.185200599,0.05286122,0.05286122,8477.1,417.5371574,3467.219499,2528.208366,1.241441342184985,939.011133,0.2726727381796368,True,False,False,False,False
15,PO1_15,7668.4,11141.88,102.9649,0.000325153,0.168665397,0.037830727,0.037830727,8499.9,283.4578773,3474.784415,2569.056779,1.1531780061396613,905.7276360000001,0.36324585854083086,False,True,False,False,False
